age,income,credit_amount,duration,debt_to_income_ratio,credit_history_length,purpose,employment_status,housing,savings_account,checking_account,credit_risk,credit_to_income_ratio,monthly_payment,age_group,income_group
45,17820.77444,2856.076805,14,0.118721657,2.468165074,car,employed,rent,quite_rich,rich,0,0.160266705,204.0054861,Middle,Low
38,17558.49129,3849.122309,6,0.085583955,0.076113628,car,employed,own,quite_rich,little,0,0.219217144,641.5203848,Middle,Low
47,8974.8223,3047.555739,10,0.14568726,11.42731582,car,retired,rent,quite_rich,little,0,0.339567251,304.7555739,Middle,Low
58,18675.25948,5368.664379,10,0.173930268,3.743764557,furniture,self-employed,rent,rich,moderate,1,0.287474687,536.8664379,Senior,Low
37,31774.34687,12806.94429,6,0.467306691,9.479012959,vacation,self-employed,own,quite_rich,moderate,0,0.403059246,2134.490714,Middle,Below_Avg
37,11647.93209,2652.257052,27,0.10054756,0.308870135,education,employed,own,rich,rich,0,0.227701967,98.23174267,Middle,Low
58,37206.5956,10945.20126,9,0.260146715,1.290345229,car,employed,own,quite_rich,little,0,0.294173683,1216.133473,Senior,Below_Avg
49,28110.18965,2629.798068,14,0.288223042,1.501337996,furniture,employed,rent,moderate,rich,0,0.093553196,187.8427192,Middle,Low
34,15258.36779,2494.63631,6,0.158575586,2.444435991,car,employed,own,little,little,0,0.163492999,415.7727183,Adult,Low
46,20521.63925,9460.4544,11,0.495252061,8.119367337,medical,employed,rent,little,little,0,0.460998962,860.0413091,Middle,Low
34,48979.68522,10275.82268,25,0.115193645,2.443346765,furniture,employed,rent,moderate,rich,1,0.209797646,411.0329072,Adult,Below_Avg
34,31785.76753,9712.101356,10,0.52189623,1.144887238,medical,employed,rent,quite_rich,little,0,0.305548744,971.2101356,Adult,Below_Avg
42,22123.41497,1715.332251,14,0.023405247,0.335991665,furniture,employed,rent,moderate,moderate,0,0.077534696,122.5237322,Middle,Low
18,19558.36481,3385.440188,21,0.150283766,0.41414657,vacation,unemployed,own,little,moderate,0,0.173094235,161.2114375,Young,Low
19,22886.54667,9493.768107,8,0.546524593,7.136565332,car,unemployed,free,moderate,little,1,0.414818725,1186.721013,Young,Low
33,17053.62757,5080.848085,7,0.279760142,2.942161286,car,employed,own,rich,moderate,0,0.297933566,725.8354407,Adult,Low
27,7689.60924,2081.91979,6,0.275533428,6.476442102,car,employed,own,rich,moderate,0,0.27074455,346.9866317,Adult,Low
43,61150.23324,7091.51552,15,0.087799908,5.733036013,education,employed,own,moderate,little,0,0.11596874,472.7677013,Middle,Average
29,23805.27562,2774.30125,22,0.089058209,0.727224454,furniture,self-employed,rent,little,moderate,0,0.116541446,126.1046023,Adult,Low
23,26878.27538,20653.08287,15,0.805443358,0.770933018,furniture,retired,own,quite_rich,rich,0,0.768393157,1376.872191,Young,Low
57,21397.85848,16913.59761,6,0.845728447,7.039470125,vacation,unemployed,rent,rich,little,0,0.790434128,2818.932936,Senior,Low
37,15251.62906,7968.710314,6,0.458157725,6.387527926,car,self-employed,own,little,rich,1,0.522482568,1328.118386,Middle,Low
40,20071.13033,14600.41693,6,0.650825671,2.374323259,furniture,employed,rent,rich,little,1,0.727433716,2433.402821,Middle,Low
22,9900.12457,5176.234188,6,0.46193175,3.580633891,vacation,employed,rent,little,little,0,0.522845359,862.705698,Young,Low
33,68771.40063,9066.57629,10,-0.008288966,0.060858992,furniture,employed,rent,little,moderate,0,0.131836435,906.657629,Adult,Average
41,11881.57311,16029.34263,6,1.190049597,1.699489133,vacation,self-employed,free,rich,little,0,1.349092623,2671.557106,Middle,Low
26,13147.89381,5981.334278,21,0.484643897,0.04632531,furniture,employed,rent,rich,rich,0,0.454927182,284.8254418,Adult,Low
44,17674.36207,4007.208979,58,0.320583971,1.307295409,furniture,self-employed,own,little,rich,0,0.226724391,69.08980998,Middle,Low
32,41941.78492,1256.772786,6,0.117069224,2.719333765,car,self-employed,own,little,rich,0,0.029964695,209.462131,Adult,Below_Avg
